2014-07-09T15:51:34.080+0200: 1.692: [GC [PSYoungGen: 13778K->2529K(13824K)] 21845K->14221K(30208K), 0.0175944 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2014-07-09T15:51:34.098+0200: 1.710: [Full GC [PSYoungGen: 2529K->0K(13824K)] [ParOldGen: 11692K->6363K(16384K)] 14221K->6363K(30208K) [PSPermGen: 2474K->2474K(21504K)], 0.0108921 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:51:34.127+0200: 1.739: [GC [PSYoungGen: 11251K->992K(13824K)] 17615K->7355K(30208K), 0.0008828 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:51:34.179+0200: 1.791: [GC [PSYoungGen: 12241K->2529K(13824K)] 18605K->10405K(30208K), 0.0044021 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:51:34.189+0200: 1.801: [GC [PSYoungGen: 13778K->2529K(13824K)] 21654K->14959K(30208K), 0.0059672 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:51:34.195+0200: 1.807: [Full GC [PSYoungGen: 2529K->0K(13824K)] [ParOldGen: 12430K->7291K(16384K)] 14959K->7291K(30208K) [PSPermGen: 2474K->2474K(21504K)], 0.0153535 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2014-07-09T15:51:34.278+0200: 1.890: [GC [PSYoungGen: 11254K->896K(13824K)] 18546K->8188K(30208K), 0.0016960 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:51:34.289+0200: 1.900: [GC [PSYoungGen: 12145K->2529K(13824K)] 19437K->11237K(30208K), 0.0058081 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:51:34.329+0200: 1.941: [GC [PSYoungGen: 13778K->2529K(13824K)] 22487K->15696K(30208K), 0.0057964 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:51:34.335+0200: 1.947: [Full GC [PSYoungGen: 2529K->0K(13824K)] [ParOldGen: 13166K->7196K(16384K)] 15696K->7196K(30208K) [PSPermGen: 2474K->2474K(21504K)], 0.0102010 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-09T15:51:34.382+0200: 1.994: [GC [PSYoungGen: 11249K->1792K(13824K)] 18445K->8989K(30208K), 0.0143732 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-09T15:51:34.428+0200: 2.040: [GC [PSYoungGen: 13042K->2529K(13824K)] 20238K->12070K(30208K), 0.0034276 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:51:34.479+0200: 2.091: [GC [PSYoungGen: 13778K->2529K(13824K)] 23320K->17457K(30208K), 0.0062392 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-09T15:51:34.485+0200: 2.097: [Full GC [PSYoungGen: 2529K->0K(13824K)] [ParOldGen: 14928K->8124K(16384K)] 17457K->8124K(30208K) [PSPermGen: 2474K->2474K(21504K)], 0.0107293 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:51:34.527+0200: 2.139: [GC [PSYoungGen: 11233K->1056K(13824K)] 19358K->9181K(30208K), 0.0007292 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:51:34.580+0200: 2.191: [GC [PSYoungGen: 12305K->2529K(13824K)] 20430K->12230K(30208K), 0.0046954 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:51:34.593+0200: 2.205: [GC [PSYoungGen: 13778K->2529K(13824K)] 23480K->16849K(30208K), 0.0094806 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-09T15:51:34.603+0200: 2.215: [Full GC [PSYoungGen: 2529K->0K(13824K)] [ParOldGen: 14319K->7358K(16384K)] 16849K->7358K(30208K) [PSPermGen: 2474K->2474K(21504K)], 0.0155086 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2014-07-09T15:51:34.678+0200: 2.290: [GC [PSYoungGen: 11249K->1984K(13824K)] 18607K->9343K(30208K), 0.0022262 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:51:34.690+0200: 2.302: [GC [PSYoungGen: 13234K->2529K(13824K)] 20592K->12392K(30208K), 0.0066040 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:51:34.731+0200: 2.343: [GC [PSYoungGen: 13778K->2529K(13824K)] 23642K->17939K(30208K), 0.0108092 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-09T15:51:34.743+0200: 2.354: [Full GC [PSYoungGen: 2529K->0K(13824K)] [ParOldGen: 15410K->8286K(16384K)] 17939K->8286K(30208K) [PSPermGen: 2474K->2474K(21504K)], 0.0194539 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
