2014-07-09T15:58:14.596+0200: 8.506: [GC [PSYoungGen: 27589K->4994K(27648K)] 48242K->25655K(60416K), 0.0054107 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-09T15:58:14.690+0200: 8.600: [GC [PSYoungGen: 27493K->2881K(27648K)] 48154K->23550K(60416K), 0.0024538 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:14.790+0200: 8.700: [GC [PSYoungGen: 25389K->5090K(27648K)] 46058K->28104K(60416K), 0.0093303 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:58:14.887+0200: 8.797: [GC [PSYoungGen: 27589K->5090K(27648K)] 50603K->28336K(60416K), 0.0040329 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:14.988+0200: 8.898: [GC [PSYoungGen: 27594K->2145K(27648K)] 50841K->25399K(60416K), 0.0019123 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:15.086+0200: 8.996: [GC [PSYoungGen: 24642K->32K(27648K)] 47896K->23294K(60416K), 0.0008748 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:15.138+0200: 9.048: [GC [PSYoungGen: 22528K->5090K(27648K)] 45791K->29417K(60416K), 0.0074352 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:58:15.237+0200: 9.147: [GC [PSYoungGen: 27610K->1856K(27648K)] 51937K->26191K(60416K), 0.0014438 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:15.293+0200: 9.203: [GC [PSYoungGen: 24355K->5090K(27648K)] 48690K->32282K(60416K), 0.0065655 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:58:15.392+0200: 9.302: [GC [PSYoungGen: 27589K->5090K(27648K)] 54781K->33026K(60416K), 0.0043621 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:15.494+0200: 9.404: [GC [PSYoungGen: 27594K->2689K(27648K)] 55531K->30633K(60416K), 0.0037524 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:15.591+0200: 9.501: [GC [PSYoungGen: 25188K->576K(27648K)] 53132K->28528K(60416K), 0.0021074 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:15.691+0200: 9.601: [GC [PSYoungGen: 23075K->5090K(27648K)] 51027K->34619K(60416K), 0.0082036 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-09T15:58:15.788+0200: 9.698: [GC [PSYoungGen: 27598K->3009K(27648K)] 57127K->32546K(60416K), 0.0034833 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:15.887+0200: 9.797: [GC [PSYoungGen: 25508K->896K(27648K)] 55045K->30441K(60416K), 0.0019695 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:15.938+0200: 9.848: [GC [PSYoungGen: 23395K->5090K(27648K)] 52940K->36532K(60416K), 0.0055533 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-09T15:58:15.944+0200: 9.854: [Full GC [PSYoungGen: 5090K->0K(27648K)] [ParOldGen: 31442K->7232K(32768K)] 36532K->7232K(60416K) [PSPermGen: 2474K->2474K(21504K)], 0.0112539 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:58:16.037+0200: 9.947: [GC [PSYoungGen: 22508K->3329K(27648K)] 29741K->10562K(60416K), 0.0026060 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:16.137+0200: 10.047: [GC [PSYoungGen: 25828K->1184K(27648K)] 33061K->8425K(60416K), 0.0022676 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:16.198+0200: 10.108: [GC [PSYoungGen: 23695K->5090K(27648K)] 30935K->13908K(60416K), 0.0083378 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:58:16.295+0200: 10.205: [GC [PSYoungGen: 27592K->3521K(27648K)] 36410K->12347K(60416K), 0.0045608 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:16.392+0200: 10.302: [GC [PSYoungGen: 26020K->1408K(27648K)] 34846K->10242K(60416K), 0.0023559 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:16.490+0200: 10.400: [GC [PSYoungGen: 23913K->5090K(27648K)] 32746K->15308K(60416K), 0.0049128 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:16.588+0200: 10.498: [GC [PSYoungGen: 27589K->4354K(27648K)] 37807K->14580K(60416K), 0.0050444 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:16.687+0200: 10.597: [GC [PSYoungGen: 26853K->2241K(27648K)] 37079K->12475K(60416K), 0.0027853 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:16.738+0200: 10.648: [GC [PSYoungGen: 24755K->5090K(27648K)] 34989K->16517K(60416K), 0.0050004 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
