2014-07-09T15:43:12.831+0200: 1.651: [GC [PSYoungGen: 6569K->5090K(11264K)] 15116K->15062K(27648K), 0.0052138 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:12.879+0200: 1.699: [GC [PSYoungGen: 11213K->4450K(11264K)] 21185K->14421K(27648K), 0.0042822 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:43:12.886+0200: 1.706: [GC [PSYoungGen: 10573K->2369K(11264K)] 20544K->12348K(27648K), 0.0148395 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2014-07-09T15:43:12.928+0200: 1.748: [GC [PSYoungGen: 8492K->288K(11264K)] 18471K->10275K(27648K), 0.0006907 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:12.931+0200: 1.751: [GC [PSYoungGen: 6409K->5090K(11264K)] 16396K->16366K(27648K), 0.0196797 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2014-07-09T15:43:12.988+0200: 1.808: [GC [PSYoungGen: 11213K->4322K(11264K)] 22489K->15598K(27648K), 0.0045909 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:12.995+0200: 1.815: [GC [PSYoungGen: 10445K->2241K(11264K)] 21721K->13525K(27648K), 0.0176483 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2014-07-09T15:43:13.028+0200: 1.848: [GC [PSYoungGen: 8380K->192K(11264K)] 19664K->11484K(27648K), 0.0006981 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:13.031+0200: 1.851: [GC [PSYoungGen: 6334K->5090K(11264K)] 17626K->16582K(27648K), 0.0169946 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2014-07-09T15:43:13.079+0200: 1.899: [GC [PSYoungGen: 11213K->3201K(11264K)] 22705K->14701K(27648K), 0.0032292 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:13.086+0200: 1.906: [GC [PSYoungGen: 9324K->1120K(11264K)] 20824K->12628K(27648K), 0.0343888 secs] [Times: user=0.03 sys=0.00, real=0.04 secs] 
2014-07-09T15:43:13.124+0200: 1.944: [GC [PSYoungGen: 7241K->5090K(11264K)] 18749K->18719K(27648K), 0.0199657 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2014-07-09T15:43:13.147+0200: 1.967: [GC [PSYoungGen: 11213K->5090K(11264K)] 24842K->18783K(27648K), 0.0192486 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2014-07-09T15:43:13.179+0200: 1.999: [GC [PSYoungGen: 11213K->3073K(11264K)] 24906K->16774K(27648K), 0.0036692 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:13.185+0200: 2.005: [GC [PSYoungGen: 9196K->992K(11264K)] 22897K->14701K(27648K), 0.0053953 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:43:13.193+0200: 2.013: [GC [PSYoungGen: 7113K->5090K(11264K)] 20822K->20800K(27648K), 0.0063500 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:43:13.200+0200: 2.020: [Full GC [PSYoungGen: 5090K->0K(11264K)] [ParOldGen: 15710K->7606K(16384K)] 20800K->7606K(27648K) [PSPermGen: 2474K->2474K(21504K)], 0.0103649 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-09T15:43:13.229+0200: 2.049: [GC [PSYoungGen: 6122K->5058K(11264K)] 13729K->12664K(27648K), 0.0037744 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:13.281+0200: 2.101: [GC [PSYoungGen: 11181K->2977K(11264K)] 18787K->10591K(27648K), 0.0037231 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:13.291+0200: 2.111: [GC [PSYoungGen: 9100K->896K(11264K)] 16714K->8518K(27648K), 0.0022192 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:13.299+0200: 2.119: [GC [PSYoungGen: 7017K->5090K(11264K)] 14639K->14585K(27648K), 0.0060317 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:43:13.329+0200: 2.149: [GC [PSYoungGen: 11227K->3265K(11264K)] 20722K->12760K(27648K), 0.0016975 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:13.379+0200: 2.199: [GC [PSYoungGen: 9388K->1184K(11264K)] 18883K->10687K(27648K), 0.0019618 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:13.386+0200: 2.206: [GC [PSYoungGen: 7305K->5090K(11264K)] 16808K->16754K(27648K), 0.0095260 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-09T15:43:13.399+0200: 2.219: [GC [PSYoungGen: 11213K->5090K(11264K)] 22877K->16882K(27648K), 0.0071503 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-09T15:43:13.429+0200: 2.249: [GC [PSYoungGen: 11213K->3137K(11264K)] 23005K->14937K(27648K), 0.0018966 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:13.502+0200: 2.322: [GC [PSYoungGen: 9260K->1024K(11264K)] 21060K->12832K(27648K), 0.0026771 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:13.513+0200: 2.333: [GC [PSYoungGen: 7145K->5090K(11264K)] 18953K->18923K(27648K), 0.0193754 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2014-07-09T15:43:13.532+0200: 2.352: [Full GC [PSYoungGen: 5090K->0K(11264K)] [ParOldGen: 13833K->7643K(16384K)] 18923K->7643K(27648K) [PSPermGen: 2474K->2474K(21504K)], 0.0144253 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-09T15:43:13.550+0200: 2.370: [GC [PSYoungGen: 6122K->5090K(11264K)] 13766K->12733K(27648K), 0.0035434 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:13.556+0200: 2.376: [GC [PSYoungGen: 11213K->3009K(11264K)] 18856K->10660K(27648K), 0.0021844 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:13.562+0200: 2.382: [GC [PSYoungGen: 9151K->1216K(11264K)] 16802K->8875K(27648K), 0.0020564 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:13.579+0200: 2.399: [GC [PSYoungGen: 7328K->5090K(11264K)] 14988K->13173K(27648K), 0.0197190 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2014-07-09T15:43:13.602+0200: 2.422: [GC [PSYoungGen: 11213K->3425K(11264K)] 19296K->11517K(27648K), 0.0025279 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:13.628+0200: 2.448: [GC [PSYoungGen: 9548K->1344K(11264K)] 17640K->9444K(27648K), 0.0008253 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:13.631+0200: 2.451: [GC [PSYoungGen: 7465K->5090K(11264K)] 15564K->15510K(27648K), 0.0055676 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:43:13.679+0200: 2.499: [GC [PSYoungGen: 11213K->5090K(11264K)] 21633K->15799K(27648K), 0.0041022 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:13.686+0200: 2.506: [GC [PSYoungGen: 11213K->3297K(11264K)] 21922K->14014K(27648K), 0.0023398 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:13.729+0200: 2.549: [GC [PSYoungGen: 9420K->1216K(11264K)] 20137K->11941K(27648K), 0.0019512 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:13.735+0200: 2.555: [GC [PSYoungGen: 7337K->5090K(11264K)] 18062K->18008K(27648K), 0.0092584 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:43:13.781+0200: 2.601: [GC [PSYoungGen: 11213K->5090K(11264K)] 24131K->18168K(27648K), 0.0062546 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:43:13.791+0200: 2.612: [GC [PSYoungGen: 11213K->3169K(11264K)] 24291K->16255K(27648K), 0.0046220 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-09T15:43:13.801+0200: 2.621: [GC [PSYoungGen: 9310K->32K(11264K)] 22395K->13125K(27648K), 0.0014471 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:13.831+0200: 2.651: [GC [PSYoungGen: 6146K->5090K(11264K)] 19240K->18768K(27648K), 0.0042939 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:13.879+0200: 2.699: [GC [PSYoungGen: 11213K->3585K(11264K)] 24891K->17271K(27648K), 0.0047012 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:13.886+0200: 2.706: [GC [PSYoungGen: 9708K->1504K(11264K)] 23394K->15198K(27648K), 0.0017323 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:13.891+0200: 2.711: [GC [PSYoungGen: 7625K->5090K(11264K)] 21319K->21265K(27648K), 0.0054649 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:43:13.897+0200: 2.717: [Full GC [PSYoungGen: 5090K->0K(11264K)] [ParOldGen: 16175K->7840K(16384K)] 21265K->7840K(27648K) [PSPermGen: 2474K->2474K(21504K)], 0.0115923 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-09T15:43:13.929+0200: 2.749: [GC [PSYoungGen: 6122K->5090K(11264K)] 13963K->13379K(27648K), 0.0044945 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-09T15:43:13.979+0200: 2.799: [GC [PSYoungGen: 11213K->3457K(11264K)] 19502K->11754K(27648K), 0.0022624 secs] [Times: user=0.00 sys=0.02, real=0.00 secs] 
2014-07-09T15:43:13.984+0200: 2.804: [GC [PSYoungGen: 9580K->1376K(11264K)] 17877K->9681K(27648K), 0.0011783 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:13.987+0200: 2.807: [GC [PSYoungGen: 7497K->5090K(11264K)] 15802K->15748K(27648K), 0.0058869 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:43:14.029+0200: 2.849: [GC [PSYoungGen: 11213K->5090K(11264K)] 21871K->16068K(27648K), 0.0040893 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:14.078+0200: 2.898: [GC [PSYoungGen: 11218K->2305K(11264K)] 22197K->13291K(27648K), 0.0011094 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:14.082+0200: 2.902: [GC [PSYoungGen: 8428K->224K(11264K)] 19414K->11218K(27648K), 0.0007303 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:14.085+0200: 2.905: [GC [PSYoungGen: 6345K->5090K(11264K)] 17339K->17285K(27648K), 0.0049868 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:14.129+0200: 2.949: [GC [PSYoungGen: 11213K->4258K(11264K)] 23408K->16452K(27648K), 0.0031552 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:14.179+0200: 2.999: [GC [PSYoungGen: 10381K->2177K(11264K)] 22575K->14379K(27648K), 0.0023548 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:14.187+0200: 3.007: [GC [PSYoungGen: 8300K->64K(11264K)] 20502K->12274K(27648K), 0.0014192 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:14.193+0200: 3.014: [GC [PSYoungGen: 6185K->5090K(11264K)] 18395K->18373K(27648K), 0.0072192 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-09T15:43:14.229+0200: 3.049: [GC [PSYoungGen: 11211K->4129K(11264K)] 24494K->17413K(27648K), 0.0031992 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:14.278+0200: 3.098: [GC [PSYoungGen: 10250K->2016K(11264K)] 23534K->15308K(27648K), 0.0021591 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:14.284+0200: 3.104: [GC [PSYoungGen: 8137K->5090K(11264K)] 21429K->21407K(27648K), 0.0063016 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:43:14.290+0200: 3.110: [Full GC [PSYoungGen: 5090K->0K(11264K)] [ParOldGen: 16316K->8385K(16384K)] 21407K->8385K(27648K) [PSPermGen: 2474K->2474K(21504K)], 0.0113042 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-09T15:43:14.304+0200: 3.124: [GC [PSYoungGen: 6139K->4930K(11264K)] 14524K->13315K(27648K), 0.0042961 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:14.328+0200: 3.148: [GC [PSYoungGen: 11056K->1824K(11264K)] 19442K->10218K(27648K), 0.0009624 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:43:14.331+0200: 3.151: [GC [PSYoungGen: 7945K->5090K(11264K)] 16339K->16285K(27648K), 0.0060028 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:43:14.380+0200: 3.201: [GC [PSYoungGen: 11213K->5090K(11264K)] 22408K->17053K(27648K), 0.0078150 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-09T15:43:14.393+0200: 3.213: [GC [PSYoungGen: 11213K->3777K(11264K)] 23176K->15748K(27648K), 0.0050814 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
