Java HotSpot(TM) 64-Bit Server VM (25.5-b02) for windows-amd64 JRE (1.8.0_05-b13), built on Mar 18 2014 01:08:39 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8376184k(4965800k free), swap 16750504k(12232096k free)
CommandLine flags: -XX:InitialHeapSize=134018944 -XX:LogFile=jvm.log -XX:MaxHeapSize=536870912 -XX:MaxNewSize=174485504 -XX:MaxTenuringThreshold=6 -XX:OldPLABSize=16 -XX:+PrintFlagsFinal -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UnlockDiagnosticVMOptions -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
2014-07-10T12:34:14.826+0200: 0.323: [GC (Allocation Failure) 0.323: [ParNew: 1090K->96K(1152K), 0.0010940 secs] 33533K->33531K(130944K), 0.0011424 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.827+0200: 0.324: [GC (Allocation Failure) 0.324: [ParNew: 1090K->96K(1152K), 0.0011791 secs] 34525K->34523K(130944K), 0.0012260 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.828+0200: 0.326: [GC (Allocation Failure) 0.326: [ParNew: 1090K->96K(1152K), 0.0010438 secs] 35518K->35516K(130944K), 0.0010870 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.830+0200: 0.327: [GC (Allocation Failure) 0.327: [ParNew: 1090K->96K(1152K), 0.0015079 secs] 36510K->36508K(130944K), 0.0015747 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.832+0200: 0.329: [GC (Allocation Failure) 0.329: [ParNew: 1090K->96K(1152K), 0.0013877 secs] 37503K->37501K(130944K), 0.0014449 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.833+0200: 0.331: [GC (Allocation Failure) 0.331: [ParNew: 1090K->96K(1152K), 0.0010163 secs] 38495K->38493K(130944K), 0.0010625 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.836+0200: 0.333: [GC (Allocation Failure) 0.333: [ParNew: 1090K->96K(1152K), 0.0020252 secs] 39488K->39486K(130944K), 0.0021312 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.839+0200: 0.337: [GC (Allocation Failure) 0.337: [ParNew: 1090K->96K(1152K), 0.0013902 secs] 40480K->40478K(130944K), 0.0014716 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.842+0200: 0.339: [GC (Allocation Failure) 0.339: [ParNew: 1090K->96K(1152K), 0.0011490 secs] 41473K->41471K(130944K), 0.0012135 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.843+0200: 0.341: [GC (Allocation Failure) 0.341: [ParNew: 1090K->96K(1152K), 0.0009587 secs] 42465K->42463K(130944K), 0.0010079 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.845+0200: 0.342: [GC (Allocation Failure) 0.342: [ParNew: 1090K->96K(1152K), 0.0010467 secs] 43457K->43455K(130944K), 0.0010999 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.846+0200: 0.343: [GC (Allocation Failure) 0.344: [ParNew: 1090K->96K(1152K), 0.0010658 secs] 44450K->44448K(130944K), 0.0011149 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.847+0200: 0.345: [GC (Allocation Failure) 0.345: [ParNew: 1090K->96K(1152K), 0.0011739 secs] 45442K->45440K(130944K), 0.0012223 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.849+0200: 0.346: [GC (Allocation Failure) 0.346: [ParNew: 1090K->96K(1152K), 0.0011728 secs] 46435K->46433K(130944K), 0.0012176 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.850+0200: 0.348: [GC (Allocation Failure) 0.348: [ParNew: 1090K->96K(1152K), 0.0010332 secs] 47427K->47425K(130944K), 0.0010793 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.852+0200: 0.349: [GC (Allocation Failure) 0.349: [ParNew: 1090K->96K(1152K), 0.0015248 secs] 48420K->48418K(130944K), 0.0015846 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.854+0200: 0.351: [GC (Allocation Failure) 0.351: [ParNew: 1090K->96K(1152K), 0.0012641 secs] 49412K->49410K(130944K), 0.0013144 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.855+0200: 0.353: [GC (Allocation Failure) 0.353: [ParNew: 1090K->96K(1152K), 0.0010086 secs] 50405K->50403K(130944K), 0.0010533 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.857+0200: 0.354: [GC (Allocation Failure) 0.354: [ParNew: 1090K->96K(1152K), 0.0010540 secs] 51397K->51395K(130944K), 0.0011035 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.858+0200: 0.355: [GC (Allocation Failure) 0.355: [ParNew: 1090K->96K(1152K), 0.0012227 secs] 52390K->52388K(130944K), 0.0012733 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.859+0200: 0.357: [GC (Allocation Failure) 0.357: [ParNew: 1090K->96K(1152K), 0.0011853 secs] 53382K->53380K(130944K), 0.0012377 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.861+0200: 0.358: [GC (Allocation Failure) 0.358: [ParNew: 1090K->96K(1152K), 0.0012803 secs] 54375K->54373K(130944K), 0.0013448 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.863+0200: 0.360: [GC (Allocation Failure) 0.360: [ParNew: 1090K->96K(1152K), 0.0010412 secs] 55367K->55365K(130944K), 0.0010874 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.864+0200: 0.361: [GC (Allocation Failure) 0.361: [ParNew: 1090K->96K(1152K), 0.0012374 secs] 56360K->56358K(130944K), 0.0012997 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.866+0200: 0.363: [GC (Allocation Failure) 0.363: [ParNew: 1090K->96K(1152K), 0.0011028 secs] 57352K->57350K(130944K), 0.0011508 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.867+0200: 0.365: [GC (Allocation Failure) 0.365: [ParNew: 1090K->96K(1152K), 0.0012003 secs] 58345K->58343K(130944K), 0.0012608 secs] [Times: user=0.02 sys=0.02, real=0.00 secs] 
2014-07-10T12:34:14.869+0200: 0.366: [GC (Allocation Failure) 0.366: [ParNew: 1090K->96K(1152K), 0.0025700 secs] 59337K->59335K(130944K), 0.0026566 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.872+0200: 0.369: [GC (Allocation Failure) 0.369: [ParNew: 1090K->96K(1152K), 0.0011835 secs] 60330K->60328K(130944K), 0.0012385 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.873+0200: 0.371: [GC (Allocation Failure) 0.371: [ParNew: 1090K->96K(1152K), 0.0010240 secs] 61322K->61320K(130944K), 0.0010749 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.875+0200: 0.372: [GC (Allocation Failure) 0.372: [ParNew: 1090K->96K(1152K), 0.0011857 secs] 62315K->62313K(130944K), 0.0012385 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.876+0200: 0.374: [GC (Allocation Failure) 0.374: [ParNew: 1090K->96K(1152K), 0.0010262 secs] 63307K->63305K(130944K), 0.0010779 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.878+0200: 0.375: [GC (Allocation Failure) 0.375: [ParNew: 1090K->96K(1152K), 0.0010614 secs] 64300K->64298K(130944K), 0.0011065 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.879+0200: 0.377: [GC (Allocation Failure) 0.377: [ParNew: 1090K->96K(1152K), 0.0010918 secs] 65292K->65290K(130944K), 0.0011354 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.880+0200: 0.378: [GC (CMS Initial Mark) [1 CMS-initial-mark: 65194K(129792K)] 65420K(130944K), 0.0001478 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.881+0200: 0.378: [CMS-concurrent-mark-start]
2014-07-10T12:34:14.881+0200: 0.378: [GC (Allocation Failure) 0.378: [ParNew: 1098K->108K(1152K), 0.0007453 secs] 66293K->65622K(130944K), 0.0007897 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.886+0200: 0.383: [CMS-concurrent-mark: 0.004/0.005 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
2014-07-10T12:34:14.886+0200: 0.383: [CMS-concurrent-preclean-start]
2014-07-10T12:34:14.886+0200: 0.384: [CMS-concurrent-preclean: 0.000/0.000 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.886+0200: 0.384: [GC (Allocation Failure) 0.384: [ParNew: 1102K->96K(1152K), 0.0013550 secs] 66617K->66611K(130944K), 0.0014170 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.888+0200: 0.386: [GC (Allocation Failure) 0.386: [ParNew: 1090K->96K(1152K), 0.0009910 secs] 67606K->67604K(130944K), 0.0010416 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
